Pt	110138	5	5802401	+
Pt	110138	6	135980828	+
Pt	110138	6	3764581	-
Mt	98038	9	62733683	-
Pt	73842	4	215299268	+
Pt	73842	scaffold2467	3491	+
Pt	73842	1	253806471	+
Pt	73842	3	207055699	-
Pt	73842	3	232782141	-
Pt	50535	scaffold1679	7739	+
Pt	50535	scaffold2395	4637	-
Pt	50535	1	133879798	+
Pt	50535	1	134430160	+
Pt	50535	1	241692693	-
Pt	50535	10	99180781	+
Pt	50535	8	170144908	-
Pt	50535	1	134463878	+
Pt	50535	3	97927532	-
Pt	50535	1	134434728	+
Pt	66998	scaffold2393	3326	+
Pt	66998	scaffold2159	6881	+
Pt	66998	1	134915602	+
Pt	66998	6	62079479	+
Pt	66998	7	26402328	+
Pt	66998	2	121444976	-
Pt	66998	7	52031976	-
Mt	374935	8	163008911	-
Mt	374935	4	97428124	-
Pt	63867	scaffold2224	878	-
Pt	63867	scaffold2235	9334	+
Pt	63867	scaffold2393	1494	+
Pt	63867	scaffold2159	5049	+
Pt	63867	scaffold2557	989	-
Pt	63867	1	96261503	+
Pt	63867	1	134913807	+
Pt	63867	scaffold2455	4123	+
Pt	63867	10	101387718	+
Pt	63867	7	19065231	+
Pt	63867	4	178710105	-
Pt	63867	3	18484570	+
Mt	76132	5	31399518	+
Mt	76132	8	42512082	-
Mt	76132	4	89602873	-
Mt	76132	4	89595777	-
Mt	76132	8	85823498	-
Mt	510534	*	0	-
Pt	66312	scaffold2159	9437	+
Pt	66312	8	100660631	-
Pt	66312	2	99301309	+
Pt	66312	9	48373290	-
Pt	66312	4	240821674	+
Pt	79038	10	99169592	-
Pt	79038	3	199331223	-
Pt	79038	2	57500800	-
Pt	79038	9	3556819	-
Mt	411137	6	53915665	+
Mt	411137	5	143676867	-
Mt	411137	2	150234623	+
Mt	448356	5	143578390	+
Mt	11111	3	42974363	-
Mt	11111	2	73330238	-
Mt	11111	6	158280021	-
Mt	11111	3	224221133	+
Mt	11111	4	234639899	-
Mt	356474	6	41082605	+
Mt	356474	2	206193378	-
Pt	54176	scaffold1679	11236	+
